CD_SETOR,CD_AGSN,NM_AGSN,CD_MUNICIP,NM_MUNICIP,CD_UF,SG_UF
110020505000008,11002050017,SOCIALISTA/JARDIM SANTANA,1100205,PORTO VELHO,11,RO
110020505000031,11002050002,ALPHAVILLE - NOVA ESPERANÇA,1100205,PORTO VELHO,11,RO
110020505000032,11002050002,ALPHAVILLE - NOVA ESPERANÇA,1100205,PORTO VELHO,11,RO
110020505000035,11002050003,APONIÃ,1100205,PORTO VELHO,11,RO
110020505000069,11002050019,PORTO PARK,1100205,PORTO VELHO,11,RO
110020505060024,11002050013,MOCAMBO,1100205,PORTO VELHO,11,RO
110020505060025,11002050005,BAIXA DA UNIÃO,1100205,PORTO VELHO,11,RO
110020505060051,11002050021,ROQUE - MATO GROSSO,1100205,PORTO VELHO,11,RO
110020505060052,11002050020,ROQUE,1100205,PORTO VELHO,11,RO
110020505060053,11002050020,ROQUE,1100205,PORTO VELHO,11,RO
110020505060061,11002050025,TRIÂNGULO,1100205,PORTO VELHO,11,RO
110020505060062,11002050025,TRIÂNGULO,1100205,PORTO VELHO,11,RO
110020505060072,11002050022,SÃO SEBASTIÃO,1100205,PORTO VELHO,11,RO
110020505060073,11002050014,NACIONAL,1100205,PORTO VELHO,11,RO
110020505060074,11002050014,NACIONAL,1100205,PORTO VELHO,11,RO
110020505060075,11002050014,NACIONAL,1100205,PORTO VELHO,11,RO
110020505060076,11002050014,NACIONAL,1100205,PORTO VELHO,11,RO
110020505060077,11002050014,NACIONAL,1100205,PORTO VELHO,11,RO
110020505060078,11002050014,NACIONAL,1100205,PORTO VELHO,11,RO
110020505060079,11002050014,NACIONAL,1100205,PORTO VELHO,11,RO
110020505060080,11002050014,NACIONAL,1100205,PORTO VELHO,11,RO
110020505060082,11002050012,MATO GROSSO,1100205,PORTO VELHO,11,RO
110020505060083,11002050026,TUCUMANZAL,1100205,PORTO VELHO,11,RO
110020505060088,11002050012,MATO GROSSO,1100205,PORTO VELHO,11,RO
110020505060097,11002050026,TUCUMANZAL,1100205,PORTO VELHO,11,RO
110020505060098,11002050015,NOSSA SENHORA DAS GRAÇAS,1100205,PORTO VELHO,11,RO
110020505060099,11002050020,ROQUE,1100205,PORTO VELHO,11,RO
110020505080014,11002050007,ELETRONORTE,1100205,PORTO VELHO,11,RO
110020505080019,11002050007,ELETRONORTE,1100205,PORTO VELHO,11,RO
110020505080023,11002050016,NOVO HORIZONTE,1100205,PORTO VELHO,11,RO
110020505080041,11002050009,FLORESTA,1100205,PORTO VELHO,11,RO
110020505080088,11002050004,AREIA BRANCA,1100205,PORTO VELHO,11,RO
110020505080090,11002050006,CIDADE NOVA,1100205,PORTO VELHO,11,RO
110020505080091,11002050016,NOVO HORIZONTE,1100205,PORTO VELHO,11,RO
110020505080092,11002050006,CIDADE NOVA,1100205,PORTO VELHO,11,RO
110020505080093,11002050006,CIDADE NOVA,1100205,PORTO VELHO,11,RO
110020505080094,11002050006,CIDADE NOVA,1100205,PORTO VELHO,11,RO
110020505080095,11002050006,CIDADE NOVA,1100205,PORTO VELHO,11,RO
110020505080096,11002050006,CIDADE NOVA,1100205,PORTO VELHO,11,RO
110020505090051,11002050024,TRES MARIAS,1100205,PORTO VELHO,11,RO
110020505090068,11002050003,APONIÃ,1100205,PORTO VELHO,11,RO
110020505090071,11002050018,PLANALTO,1100205,PORTO VELHO,11,RO
110020505090080,11002050023,TEIXEIRÃO,1100205,PORTO VELHO,11,RO
110020505090083,11002050008,ESPERANÇA DA COMUNIDDE,1100205,PORTO VELHO,11,RO
110020505090084,11002050008,ESPERANÇA DA COMUNIDDE,1100205,PORTO VELHO,11,RO
110020505090085,11002050010,MARIANA,1100205,PORTO VELHO,11,RO
110020505090086,11002050011,MARINGÁ,1100205,PORTO VELHO,11,RO
110020505100026,11002050010,MARIANA,1100205,PORTO VELHO,11,RO
110020505100027,11002050010,MARIANA,1100205,PORTO VELHO,11,RO
120020305000012,12002030003,BAIXA CEMITÉRIO,1200203,CRUZEIRO DO SUL,12,AC
120020305000013,12002030001,LAGOA,1200203,CRUZEIRO DO SUL,12,AC
120020305000029,12002030002,CRUZEIRINHO,1200203,CRUZEIRO DO SUL,12,AC
