cd_municipio_ibge_dv_origem,cd_municipio_ibge_dv_alta_complex,cd_municipio_ibge_dv_baixa_med_complex,exerce_influencia_regic,influenciado_regic,presta_alta,presta_baixa,procura_servicos_alta,procura_servicos_baixa,grau_infl_exerce,grau_infl_recebe
3503505,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3120409,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3552007,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
5220504,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3165404,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2307205,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2308104,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2304301,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2313708,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2311959,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2307502,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2614303,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2605301,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2607653,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
3519600,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
5108204,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
4310363,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2604304,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2603207,NULL,2606002,1,1,NULL,NULL,1,1,NULL,3
3513603,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3537206,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3151602,NULL,3549805,1,1,NULL,NULL,1,1,NULL,3
2706703,NULL,NULL,1,1,NULL,1,1,1,NULL,3
3550001,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4319752,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4305934,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3548203,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4210704,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2504405,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
2301703,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2301604,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2307106,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3204203,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3301207,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4211108,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4213104,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
4200705,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4213807,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
3300209,NULL,3300704,1,1,NULL,NULL,1,1,NULL,3
